Team,Avg. Kills,Avg. Deaths,Cores,Monuments,Wools
#YOLOSwag,5664.5,2617.833333,40.33333333,26.66666667,23.41666667
BadLion,11486,2990.75,40.5,5,65.5
Better Get a Broom,6443.9,3533.4,74.8,27.5,94.8
BichesGonCrazy,2871.8,1290,36.5,4.3,12.5
Broseidon,857.5,565.3,11.1,1.3,8.8
Core Attackers,4266.333333,3660.666667,95.83333333,25.16666667,61.33333333
Divinance,5555.833333,4230.083333,110.0833333,27.5,94.41666667
Fairytales,6684.8,4313.3,159.4,25.2,109
Fellowship of project ares,1391.727273,1207.818182,6.272727273,3.636363636,11.09090909
FishBears,4871.083333,4004.5,75.75,27.41666667,79.5
Game Mode 1,6218.5,2548.25,45.91666667,7.166666667,172.3333333
Girl Scouts,6340.916667,4470.666667,53.83333333,21.58333333,51.91666667
Impact,21023.5,8586.25,186.5,64.83333333,229.6666667
Ligers,4092.666667,3120.666667,72.91666667,25.75,68.58333333
Loading...,2530.083333,1508.916667,32.58333333,7.833333333,19
Multiple Scoregasms,6115.083333,2458.416667,64.33333333,24.83333333,58.16666667
Normania,2268.666667,1130.555556,6.111111111,2.555555556,5.777777778
OCBP,2003.25,2537.5,22.16666667,7.916666667,13.08333333
Omega Gamers,6588.5,4028.75,96.33333333,28.33333333,99.5
OmegaWolves,16769.90909,6079.363636,206.3636364,53,170.9090909
PhatKidz,4990.166667,4057.916667,64.75,23.08333333,37.58333333
SC,8604.909091,5006,165.2727273,70.18181818,77.27272727
Sexy squad,17478.58333,5514.75,131.5,32.83333333,76.08333333
SpiderBronies,9014.636364,5404.181818,96.09090909,36.54545455,76.36363636
Starfish,12748.81818,3757.272727,82.63636364,20.36363636,73.72727273
Team Fishy,14766.08333,6735.083333,242.5,93.08333333,98.08333333
Team Infinite,7714.363636,5916.454545,132.9090909,39,77.90909091
Team Supreme,7828.75,5151.416667,143.1666667,52.75,72.16666667
Team Synergy,917.0833333,960.5,20.5,7.833333333,12.16666667
The Imposters,3575.333333,2010.777778,45.55555556,18.44444444,71.33333333
Ursa Major,5126,2799.583333,26.25,8.166666667,18.5
Nope,4731.857143,3148.571429,36.14285714,7,15.28571429
